Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,30,2,12,"2, 3, 8, 9,11,13,14,15,19,20","12, 1, 4, 5, 6, 7,10,16,17,18",1500,1500,97.658,65.88,1402.342,1434.12,3000,2836.462,1418.231,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,21,42,84,118,135,162,228.5,255.3,281.4,329.4"
1,31,2,13,"2, 3, 6, 7, 8,12,14,15,19,20","13, 1, 4, 5, 9,10,11,16,17,18",1500,1500,80.518,79.92,1419.482,1420.08,3000,2839.562,1419.781,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,71,92,134,146,213.1,272.7,323.3,350.1,376.2,399.6"
1,32,2,14,"2, 3, 8, 9,11,13,16,17,18,19","14, 1, 4, 5, 6, 7,10,12,15,20",1500,1500,90.16,73.606,1409.84,1426.394,3000,2836.234,1418.117,10,10,"0,53,95,173,193.5,231.7,280.9,307.7,333.8,420.8,450.8","0,43,64,106,140,157,184,249,309,326.03,368.03"
1,33,2,15,"2, 3, 6, 7, 8,12,16,17,18,19","15, 1, 4, 5, 9,10,11,13,14,20",1500,1500,76.86,89.298,1423.14,1410.702,3000,2833.842,1416.921,10,10,"0,53,91,108,168,192,214.4,241.2,267.3,354.3,384.3","0,79,100,142,154,221.1,280.7,318.9,387.9,429.49,446.49"
1,34,2,16,"2, 3, 6, 7, 8,12,14,15,19,20","16, 1, 4, 5, 9,10,11,13,17,18",1500,1500,80.518,71.9,1419.482,1428.1,3000,2847.582,1423.791,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,28,49,91,103,170.1,229.7,267.9,307.3,333.4,359.5"
1,35,2,17,"2, 3, 6, 7, 8,12,14,15,19,20","17, 1, 4, 5, 9,10,11,13,16,18",1500,1500,80.518,126.24,1419.482,1373.76,3000,2793.242,1396.621,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,55,76,118,130,197.1,256.7,294.9,344.1,605.1,631.2"
1,36,2,18,"2, 3, 8, 9,11,13,14,15,19,20","18, 1, 4, 5, 6, 7,10,12,16,17",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,48,69,111,145,162,189,254,276.4,303.2,329.3"
1,37,2,19,"2, 3, 6, 7, 8,12,16,17,18","19, 1, 4, 5, 9,10,11,13,14,15,20",1350,1650,68.26,100.266,1281.74,1549.734,3000,2831.474,1415.737,9,11,"0,53,91,108,168,192,214.4,241.2,267.3,341.3","0,95,116,158,170,237.1,296.7,334.9,403.9,451.9,468.93,501.33"
1,38,2,20,"2, 3, 6, 7, 8,12,16,17,18,19","20, 1, 4, 5, 9,10,11,13,14,15",1500,1500,76.86,90.586,1423.14,1409.414,3000,2832.554,1416.277,10,10,"0,53,91,108,168,192,214.4,241.2,267.3,354.3,384.3","0,79,100,142,154,221.1,280.7,318.9,387.9,435.9,452.93"
1,39,3,1,"3, 4, 5, 9,10,11,13,14,15,19,20","1, 2, 6, 7, 8,12,16,17,18",1650,1350,102.498,70.06,1547.502,1279.94,3000,2827.442,1413.721,11,9,"0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49","0,97,126,143,203,227,249.4,276.2,302.3,350.3"
1,40,3,2,"3, 1, 4, 5, 9,10,11,13,16,17,18","2, 6, 7, 8,12,14,15,19,20",1650,1350,91.8,68.118,1558.2,1281.882,3000,2840.082,1420.041,11,9,"0,55,76,118,130,197.1,256.7,294.9,344.1,370.9,397,459","0,29,46,106,130,153,201,250.2,282.59,340.59"
1,41,3,4,"3, 1, 2, 8, 9,11,13,14,15,19,20","4, 5, 6, 7,10,12,16,17,18",1650,1350,122.058,59.46,1527.942,1290.54,3000,2818.482,1409.241,11,9,"0,55,152,247,325,345.5,383.7,452.7,500.7,549.9,582.29,610.29","0,42,76,93,120,185,207.4,234.2,260.3,297.3"
1,42,3,5,"3, 6, 7, 8,12,14,15,19,20","5, 1, 2, 4, 9,10,11,13,16,17,18",1350,1650,63.918,115.8,1286.082,1534.2,3000,2820.282,1410.141,9,11,"0,38,55,115,139,162,210,259.2,291.59,319.59","0,49,146,246,300,367.1,426.7,464.9,514.1,540.9,567,579"
1,43,3,6,"3, 4, 5, 9,11,13,14,15,19,20","6, 1, 2, 7, 8,10,12,16,17,18",1500,1500,81.258,104.16,1418.742,1395.84,3000,2814.582,1407.291,10,10,"0,67,109,121,141.5,179.7,248.7,296.7,345.9,378.29,406.29","0,70,167,202,262,334.5,399.5,421.9,448.7,474.8,520.8"
1,44,3,7,"3, 4, 5, 8,12,14,15,19,20","7, 1, 2, 6, 9,10,11,13,16,17,18",1350,1650,76.118,107.6,1273.882,1542.4,3000,2816.282,1408.141,9,11,"0,67,109,176,200,223,271,320.2,352.59,380.59","0,63,160,189,219,286.1,345.7,383.9,433.1,459.9,486,538"
1,45,3,8,"3, 4, 5, 9,10,11,13,14,15,19,20","8, 1, 2, 6, 7,12,16,17,18",1650,1350,102.498,73.66,1547.502,1276.34,3000,2823.842,1411.921,11,9,"0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49","0,33,130,159,176,221,243.4,270.2,296.3,368.3"
1,46,3,9,"3, 6, 7, 8,12,14,15,19,20","9, 1, 2, 4, 5,10,11,13,16,17,18",1350,1650,63.918,117.28,1286.082,1532.72,3000,2818.802,1409.401,9,11,"0,38,55,115,139,162,210,259.2,291.59,319.59","0,61,158,258,300,367.5,427.1,465.3,514.5,541.3,567.4,586.4"
1,47,3,10,"3, 4, 5, 7, 8,12,14,15,19,20","10, 1, 2, 6, 9,11,13,16,17,18",1500,1500,82.918,96.24,1417.082,1403.76,3000,2820.842,1410.421,10,10,"0,67,109,150,210,234,257,305,354.2,386.59,414.59","0,85,182,211,241,261.5,299.7,348.9,375.7,401.8,481.2"
1,48,3,11,"3, 6, 7, 8,12,14,15,19,20","11, 1, 2, 4, 5, 9,10,13,16,17,18",1350,1650,63.918,125.98,1286.082,1524.02,3000,2810.102,1405.051,9,11,"0,38,55,115,139,162,210,259.2,291.59,319.59","0,78,175,275,317,329,396.1,488.1,537.3,564.1,590.2,629.9"
1,49,3,12,"3, 4, 5, 9,10,11,13,14,15,19,20","12, 1, 2, 6, 7, 8,16,17,18",1650,1350,102.498,74.2,1547.502,1275.8,3000,2823.302,1411.651,11,9,"0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49","0,21,118,147,164,224,270.1,296.9,323,371"
1,50,3,13,"3, 4, 5, 8,12,14,15,19,20","13, 1, 2, 6, 7, 9,10,11,16,17,18",1350,1650,76.118,101.92,1273.882,1548.08,3000,2821.962,1410.981,9,11,"0,67,109,176,200,223,271,320.2,352.59,380.59","0,71,168,197,214,256,323.1,382.7,433.3,460.1,486.2,509.6"
1,51,3,14,"3, 4, 5, 9,10,11,13,17,18,19,20","14, 1, 2, 6, 7, 8,12,15,16",1650,1350,99.758,86.36,1550.242,1263.64,3000,2813.882,1406.941,11,9,"0,67,109,121,188.1,247.7,285.9,325.3,351.4,438.4,470.79,498.79","0,43,140,169,186,246,270,330,404.8,431.8"
1,52,3,15,"3, 4, 5, 9,10,11,13,17,18,19,20","15, 1, 2, 6, 7, 8,12,14,16",1650,1350,99.758,86.3,1550.242,1263.7,3000,2813.942,1406.971,11,9,"0,67,109,121,188.1,247.7,285.9,325.3,351.4,438.4,470.79,498.79","0,79,176,205,222,282,306,329,356.5,431.5"
