Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,36,5,18,"5, 6, 7,10,12,14,15,19,20","18, 1, 2, 3, 4, 8, 9,11,13,16,17",1350,1650,74.718,111.56,1275.282,1538.44,3000,2813.722,1406.861,9,11,"0,34,51,78,143,166,214,263.2,295.59,373.59","0,48,145,198,265,319,397,417.5,455.7,504.9,531.7,557.8"
1,37,5,19,"5, 6, 7, 9,10,11,13,16,17,18","19, 1, 2, 3, 4, 8,12,14,15,20",1500,1500,74.4,102.086,1425.6,1397.914,3000,2823.514,1411.757,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,95,192,245,312,366,390,413,461,478.03,510.43"
1,38,5,20,"5, 6, 7, 9,11,13,16,17,18","20, 1, 2, 3, 4, 8,10,12,14,15,19",1350,1650,53.16,128.018,1296.84,1521.982,3000,2818.822,1409.411,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,79,176,229,296,350,422.5,487.5,510.5,558.5,607.7,640.09"
1,39,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
1,40,10,2,"10, 1, 4, 5, 9,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,80.04,80.518,1419.96,1419.482,3000,2839.442,1419.721,10,10,"0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,41,10,3,"10, 1, 2, 4, 5, 6, 7, 9,11,13,16,17,18","3, 8,12,14,15,19,20",1950,1050,131.44,49.318,1818.56,1000.682,3000,2819.242,1409.621,13,7,"0,85,182,282,324,358,375,417,437.5,475.7,524.9,551.7,577.8,657.2","0,42,66,89,137,186.2,218.59,246.59"
1,42,10,4,"10, 1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,11,13,16,17,18",1800,1200,110.558,50.36,1689.442,1149.64,3000,2839.082,1419.541,12,8,"0,85,182,235,273,290,350,374,397,445,494.2,526.59,552.79","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8"
1,43,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
1,44,10,6,"10, 1, 2, 3, 4, 5, 9,11,13,14,15,19,20","6, 7, 8,12,16,17,18",1950,1050,127.898,44.46,1822.102,1005.54,3000,2827.642,1413.821,13,7,"0,85,182,235,302,344,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49","0,17,77,101,123.4,150.2,176.3,222.3"
1,45,10,7,"10, 1, 2, 3, 4, 5, 6, 9,11,13,18","7, 8,12,14,15,16,17,19,20",1650,1350,113.9,78.018,1536.1,1271.982,3000,2808.082,1404.041,11,9,"0,85,182,235,302,344,378,408,428.5,466.7,490.1,569.5","0,60,84,107,155,229.8,256.6,317.7,350.09,390.09"
1,46,10,8,"10, 1, 2, 3, 4, 5, 6, 7, 9,11,13,16,17,18","8,12,14,15,19,20",2100,900,135.44,46.718,1964.56,853.282,3000,2817.842,1408.921,14,6,"0,85,182,235,302,344,378,395,437,457.5,495.7,544.9,571.7,597.8,677.2","0,24,47,95,144.2,176.59,233.59"
1,47,10,9,"10, 1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20","9,11,13,16,17,18",2100,900,131.558,35.96,1968.442,864.04,3000,2832.482,1416.241,14,6,"0,85,182,235,302,344,378,395,455,479,502,550,599.2,631.59,657.79","0,20.5,58.7,107.9,134.7,160.8,179.8"
1,48,10,11,"10, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,15,19,20","11,13,16,17,18",2250,750,153.358,36,2096.642,714,3000,2810.642,1405.321,15,5,"0,85,182,235,302,344,378,395,455,533,588,611,659,708.2,740.59,766.79","0,38.2,87.4,114.2,140.3,180"
1,49,10,12,"10, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","12,14,15,19,20",2250,750,154.64,42.318,2095.36,707.682,3000,2803.042,1401.521,15,5,"0,85,182,235,302,344,378,395,455,533,553.5,591.7,640.9,667.7,693.8,773.2","0,23,71,120.2,152.59,211.59"
1,50,10,13,"10,12,14,15,19,20","13, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,16,17,18",900,2100,48.758,133.28,851.242,1966.72,3000,2817.962,1408.981,6,14,"0,65,88,136,185.2,217.59,243.79","0,71,168,221,288,330,364,381,441,519,539.5,590.1,616.9,643,666.4"
1,51,10,14,"10,12,15,19,20","14, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",750,2250,46.558,140.16,703.442,2109.84,3000,2813.282,1406.641,5,15,"0,65,125,174.2,206.59,232.79","0,43,140,193,260,302,336,353,413,491,511.5,549.7,598.9,625.7,651.8,700.8"
1,52,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
1,53,10,16,"10,12,14,15,17,18,19,20","16, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13",1200,1800,77.098,116.78,1122.902,1683.22,3000,2806.122,1403.061,8,12,"0,65,88,136,213.8,239.9,326.9,359.29,385.49","0,28,125,178,245,287,321,338,398,476,496.5,534.7,583.9"
1,54,10,17,"10, 2, 3, 5, 6, 7,12,14,15,19,20","17, 1, 4, 8, 9,11,13,16,18",1650,1350,82.158,120.6,1567.842,1229.4,3000,2797.242,1398.621,11,9,"0,32,85,136,170,187,232,255,303,352.2,384.59,410.79","0,55,76,130,208,228.5,266.7,315.9,576.9,603"
1,55,10,18,"10,12,14,15,19,20","18, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,48,145,198,265,307,341,358,418,496,516.5,554.7,603.9,630.7,656.8"
1,56,10,19,"10,12,14,15","19, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18,20",600,2400,35.84,164.994,564.16,2235.006,3000,2799.166,1399.583,4,16,"0,65,88,136,179.2","0,95,192,245,312,354,388,405,465,543,563.5,601.7,650.9,677.7,703.8,792.57,824.97"
1,57,10,20,"10,12,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15",900,2100,47.46,143.946,852.54,1956.054,3000,2808.594,1404.297,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73"
1,58,15,1,"15, 2, 3, 8, 9,11,13,14,19,20","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,95.498,65.86,1404.502,1434.14,3000,2838.642,1419.321,10,10,"0,75,128,170,248,268.5,306.7,375.7,428.1,460.49,477.49","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
1,59,15,2,"15, 1, 4, 5, 9,10,11,13,14,20","2, 3, 6, 7, 8,12,16,17,18,19",1500,1500,89.298,76.86,1410.702,1423.14,3000,2833.842,1416.921,10,10,"0,79,100,142,154,221.1,280.7,318.9,387.9,429.49,446.49","0,53,91,108,168,192,214.4,241.2,267.3,354.3,384.3"
1,60,15,3,"15, 1, 2, 6, 7, 8,12,14,20","3, 4, 5, 9,10,11,13,16,17,18,19",1350,1650,77.518,103.2,1272.482,1546.8,3000,2819.282,1409.641,9,11,"0,79,176,205,222,282,306,329,370.59,387.59","0,67,109,121,188.1,247.7,285.9,335.1,361.9,388,475,516"
1,61,15,4,"15, 1, 2, 3, 6, 7, 8,12,14,19,20","4, 5, 9,10,11,13,16,17,18",1650,1350,98.558,71.6,1551.442,1278.4,3000,2829.842,1414.921,11,9,"0,79,176,229,267,284,344,368,391,443.4,475.79,492.79","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358"
