Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,242,13,15,"13, 1, 4, 5, 9,10,11,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,79.92,78.358,1420.08,1421.642,3000,2841.722,1420.861,10,10,"0,71,92,134,146,213.1,272.7,323.3,350.1,376.2,399.6","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
1,243,13,16,"13, 2, 3, 8, 9,11,14,15,19,20","16, 1, 4, 5, 6, 7,10,12,17,18",1500,1500,112.218,66.04,1387.782,1433.96,3000,2821.742,1410.871,10,10,"0,78,131,173,251,271.5,325.5,373.5,422.7,455.09,561.09","0,28,49,91,125,142,169,234,278,304.1,330.2"
1,244,13,17,"13, 1, 4, 5, 9,11,16","17, 2, 3, 6, 7, 8,10,12,14,15,18,19,20",1050,1950,53.26,141.778,996.74,1808.222,3000,2804.962,1402.481,7,13,"0,71,92,134,146,166.5,217.1,266.3","0,49,102,140,157,217,289.5,354.5,377.5,425.5,522.9,609.9,642.29,708.89"
1,245,13,18,"13, 2, 3, 8, 9,11,14,15,19,20","18, 1, 4, 5, 6, 7,10,12,16,17",1500,1500,112.218,65.86,1387.782,1434.14,3000,2821.922,1410.961,10,10,"0,78,131,173,251,271.5,325.5,373.5,422.7,455.09,561.09","0,48,69,111,145,162,189,254,276.4,303.2,329.3"
1,246,13,19,"13, 1, 4, 5, 9,11,16,17,18","19, 2, 3, 6, 7, 8,10,12,14,15,20",1350,1650,58.68,91.186,1291.32,1558.814,3000,2850.134,1425.067,9,11,"0,71,92,134,146,166.5,217.1,243.9,270,293.4","0,30,83,121,138,198,270.5,335.5,358.5,406.5,423.53,455.93"
1,247,13,20,"13, 1, 4, 5, 9,10,11,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,79.92,80.518,1420.08,1419.482,3000,2839.562,1419.781,10,10,"0,71,92,134,146,213.1,272.7,323.3,350.1,376.2,399.6","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,248,14,1,"14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,16,17,18",600,2400,34.318,172.88,565.682,2227.12,3000,2792.802,1396.401,4,16,"0,48,97.2,129.59,171.59","0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,763.5,790.3,816.4,864.4"
1,249,14,2,"14, 1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,15,19,20",1650,1350,86.8,78.318,1563.2,1271.682,3000,2834.882,1417.441,11,9,"0,43,64,106,118,185.1,244.7,282.9,332.1,358.9,385,434","0,53,91,108,168,192,252,301.2,333.59,391.59"
1,250,14,3,"14, 1, 2, 6, 7, 8,12,16,17,18","3, 4, 5, 9,10,11,13,15,19,20",1500,1500,78.86,102.498,1421.14,1397.502,3000,2818.642,1409.321,10,10,"0,43,140,169,186,246,270,292.4,319.2,345.3,394.3","0,67,109,121,188.1,247.7,285.9,402.9,452.1,484.49,512.49"
1,251,14,4,"14, 1, 2, 3, 6, 7, 8,10,12,15,19,20","4, 5, 9,11,13,16,17,18",1800,1200,125.818,50.36,1674.182,1149.64,3000,2823.822,1411.911,12,8,"0,43,140,193,231,248,308,380.5,445.5,505.5,554.7,587.09,629.09","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8"
