Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps,,,,
1,15,1,16,"1, 4, 5, 9,10,11,13,14,15,20","16, 2, 3, 6, 7, 8,12,17,18,19",1500,1500,90.586,99.36,1409.414,1400.64,3000,2810.054,1405.027,10,10,"0,21,63,75,142.1,201.7,239.9,308.9,356.9,373.93,452.93","0,72,125,163,180,240,264,308,334.1,421.1,496.8",,,,
1,16,1,17,"1, 4, 5, 6, 7,10,12,14,15,20","17, 2, 3, 8, 9,11,13,16,18,19",1500,1500,74.606,147.8,1425.394,1352.2,3000,2777.594,1388.797,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,49,102,144,222,242.5,280.7,329.9,590.9,677.9,739",,,,
1,17,1,18,"1, 4, 8,12,14,15,20","18, 2, 3, 5, 6, 7, 9,10,11,13,16,17,19",1050,1950,53.206,132,996.794,1818,3000,2814.794,1407.397,7,13,"0,21,75,99,122,170,187.03,266.03","0,74,127,178,212,229,271,338.1,397.7,435.9,485.1,511.9,573,660",,,,
1,18,1,19,"1, 4, 5, 9,10,11,13,16,17,18","19, 2, 3, 6, 7, 8,12,14,15,20",1500,1500,78,68.486,1422,1431.514,3000,2853.514,1426.757,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,30,83,121,138,198,222,245,293,310.03,342.43",,,,
1,19,1,20,"1, 4, 5, 6, 9,10,11,13,16,17,18","20, 2, 3, 7, 8,12,14,15,19",1650,1350,88.4,73.718,1561.6,1276.282,3000,2837.882,1418.941,11,9,"0,21,63,97,127,194.1,253.7,291.9,341.1,367.9,394,442","0,58,111,132,192,216,239,287,336.2,368.59",,,,
1,20,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59",,,,
1,21,5,2,"5, 1, 4, 6, 7,10,12,16,17,18","2, 3, 8, 9,11,13,14,15,19,20",1500,1500,67.66,97.658,1432.34,1402.342,3000,2834.682,1417.341,10,10,"0,49,70,142,159,186,251,273.4,300.2,326.3,338.3","0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29",,,,
1,22,5,3,"5, 1, 2, 4, 9,11,13,16,17,18","3, 6, 7, 8,10,12,14,15,19,20",1500,1500,94.56,86.618,1405.44,1413.382,3000,2818.822,1409.411,10,10,"0,49,146,246,300,320.5,358.7,407.9,434.7,460.8,472.8","0,38,55,115,187.5,252.5,275.5,323.5,372.7,405.09,433.09",,,,
1,23,5,4,"5, 1, 2, 3, 6, 7,10,12,14,15,19,20","4, 8, 9,11,13,16,17,18",1800,1200,115.318,65.96,1684.682,1134.04,3000,2818.722,1409.361,12,8,"0,49,146,199,237,254,281,346,369,417,466.2,498.59,576.59","0,54,132,152.5,190.7,239.9,266.7,292.8,329.8",,,,
1,24,5,6,"5, 1, 2, 3, 4, 8,10,12,16,17,18","6, 7, 9,11,13,14,15,19,20",1650,1350,108.96,74.658,1541.04,1275.342,3000,2816.382,1408.191,11,9,"0,49,146,199,266,320,392.5,457.5,479.9,506.7,532.8,544.8","0,17,59,79.5,117.7,186.7,234.7,283.9,316.29,373.29",,,,
1,25,5,7,"5, 9,10,11,13,16,17,18","7, 1, 2, 3, 4, 6, 8,12,14,15,19,20",1200,1800,58.2,128.518,1141.8,1671.482,3000,2813.282,1406.641,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,63,160,213,280,352,426,450,473,521,570.2,602.59,642.59",,,,
1,26,5,8,"5, 6, 7, 9,10,11,13,16,17,18","8, 1, 2, 3, 4,12,14,15,19,20",1500,1500,74.4,99.318,1425.6,1400.682,3000,2826.282,1413.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,33,130,183,250,287,310,358,407.2,439.59,496.59",,,,
1,27,5,9,"5, 6, 7,10,12,16,17,18","9, 1, 2, 3, 4, 8,11,13,14,15,19,20",1200,1800,46.06,147.958,1153.94,1652.042,3000,2805.982,1402.991,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,61,158,211,278,332,422,460.2,529.2,577.2,626.4,658.79,739.79",,,,
1,28,5,10,"5, 6, 7, 8,12,16,17,18","10, 1, 2, 3, 4, 9,11,13,14,15,19,20",1200,1800,44.46,127.898,1155.54,1672.102,3000,2827.642,1413.821,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49",,,,
1,29,5,11,"5, 6, 7, 9,13,16,17,18","11, 1, 2, 3, 4, 8,10,12,14,15,19,20",1200,1800,46.44,143.698,1153.56,1656.302,3000,2809.862,1404.931,8,12,"0,34,51,93,118.1,167.3,194.1,220.2,232.2","0,78,175,228,295,349,421.5,486.5,509.5,557.5,606.7,639.09,718.49",,,,
1,30,5,12,"5, 6, 7, 9,10,11,13,16,17,18","12, 1, 2, 3, 4, 8,14,15,19,20",1500,1500,74.4,103.718,1425.6,1396.282,3000,2821.882,1410.941,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,21,118,171,238,292,330,378,427.2,459.59,518.59",,,,
1,31,5,13,"5, 6, 7,10,12,16,17,18","13, 1, 2, 3, 4, 8, 9,11,14,15,19,20",1200,1800,46.06,146.018,1153.94,1653.982,3000,2807.922,1403.961,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,71,168,221,288,342,420,440.5,494.5,542.5,591.7,624.09,730.09",,,,
1,32,5,14,"5, 6, 7, 9,10,11,13,16,17,18","14, 1, 2, 3, 4, 8,12,15,19,20",1500,1500,74.4,104.318,1425.6,1395.682,3000,2821.282,1410.641,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,43,140,193,260,314,338,398,447.2,479.59,521.59",,,,
1,33,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79",,,,
1,34,5,16,"5, 6, 7,10,12,14,15,19,20","16, 1, 2, 3, 4, 8, 9,11,13,17,18",1350,1650,74.718,105.46,1275.282,1544.54,3000,2819.822,1409.911,9,11,"0,34,51,78,143,166,214,263.2,295.59,373.59","0,28,125,178,245,299,377,397.5,435.7,475.1,501.2,527.3",,,,
1,35,5,17,"5, 6, 7, 9,10,11,13,18","17, 1, 2, 3, 4, 8,12,14,15,16,19,20",1200,1800,58.66,134.098,1141.34,1665.902,3000,2807.242,1403.621,8,12,"0,34,51,93,160.1,219.7,257.9,281.3,293.3","0,55,152,205,272,326,350,373,421,495.8,571.5,603.89,670.49",,,,
1,36,5,18,"5, 6, 7,10,12,14,15,16,17","18, 1, 2, 3, 4, 8, 9,11,13,19,20",1350,1650,65.92,134.978,1284.08,1515.022,3000,2799.102,1399.551,9,11,"0,34,51,78,143,166,214,288.8,315.6,329.6","0,48,145,198,265,319,397,417.5,455.7,553.7,586.09,674.89",,,,
1,37,5,19,"5, 6, 7, 9,11,13,16,17,18","19, 1, 2, 3, 4, 8,10,12,14,15,20",1350,1650,53.16,124.786,1296.84,1525.214,3000,2822.054,1411.027,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,95,192,245,312,366,438.5,503.5,526.5,574.5,591.53,623.93",,,,
1,38,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59",,,,
1,39,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8",,,,
1,40,10,2,"10, 1, 4, 5, 9,11,13,14,15,20","2, 3, 6, 7, 8,12,16,17,18,19",1500,1500,75.786,76.86,1424.214,1423.14,3000,2847.354,1423.677,10,10,"0,85,106,148,160,180.5,218.7,287.7,335.7,352.73,378.93","0,53,91,108,168,192,214.4,241.2,267.3,354.3,384.3",,,,
1,41,10,3,"10, 1, 2, 6, 7, 8,11,13,16,17,18","3, 4, 5, 9,12,14,15,19,20",1650,1350,119.54,71.318,1530.46,1278.682,3000,2809.142,1404.571,11,9,"0,85,182,211,228,288,378,416.2,465.4,492.2,518.3,597.7","0,67,109,121,176,199,247,296.2,328.59,356.59",,,,
1,42,10,4,"10, 1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,11,13,16,17,18",1800,1200,110.558,50.36,1689.442,1149.64,3000,2839.082,1419.541,12,8,"0,85,182,235,273,290,350,374,397,445,494.2,526.59,552.79","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8",,,,
1,43,10,5,"10,12,14,15,19,20","5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,133.16,851.242,1966.84,3000,2818.082,1409.041,6,14,"0,65,88,136,185.2,217.59,243.79","0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8",,,,
1,44,10,6,"10, 1, 2, 3, 4, 5, 9,11,13,16,17,18","6, 7, 8,12,14,15,19,20",1800,1200,119.24,62.118,1680.76,1137.882,3000,2818.642,1409.321,12,8,"0,85,182,235,302,344,356,376.5,414.7,463.9,490.7,516.8,596.2","0,17,77,101,124,172,221.2,253.59,310.59",,,,
1,45,10,7,"10, 1, 2, 3, 4, 5, 6, 9,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,129.64,55.318,1820.36,994.682,3000,2815.042,1407.521,13,7,"0,85,182,235,302,344,378,408,428.5,466.7,515.9,542.7,568.8,648.2","0,60,84,107,155,204.2,236.59,276.59",,,,
1,46,10,8,"10, 1, 2, 3, 4, 5, 6, 7,12,14,15,19,20","8, 9,11,13,16,17,18",1950,1050,123.758,62.16,1826.242,987.84,3000,2814.082,1407.041,13,7,"0,85,182,235,302,344,378,395,440,463,511,560.2,592.59,618.79","0,78,98.5,136.7,185.9,212.7,238.8,310.8",,,,
1,47,10,9,"10,12,14,15,19,20","9, 1, 2, 3, 4, 5, 6, 7, 8,11,13,16,17,18",900,2100,48.758,136.06,851.242,1963.94,3000,2815.182,1407.591,6,14,"0,65,88,136,185.2,217.59,243.79","0,61,158,211,278,320,354,371,431,521,559.2,608.4,635.2,661.3,680.3",,,,
1,48,10,11,"10, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,15,19,20","11,13,16,17,18",2250,750,153.358,36,2096.642,714,3000,2810.642,1405.321,15,5,"0,85,182,235,302,344,378,395,455,533,588,611,659,708.2,740.59,766.79","0,38.2,87.4,114.2,140.3,180",,,,
1,49,10,12,"10,11,13,14,15,19,20","12, 1, 2, 3, 4, 5, 6, 7, 8, 9,16,17,18",1050,1950,64.518,120.78,985.482,1829.22,3000,2814.702,1407.351,7,13,"0,59.6,97.8,166.8,214.8,264,296.39,322.59","0,21,118,171,238,280,314,331,391,469,503,529.8,555.9,603.9",,,,
1,50,10,13,"10,12,14,15,19,20","13, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,16,17,18",900,2100,48.758,133.28,851.242,1966.72,3000,2817.962,1408.981,6,14,"0,65,88,136,185.2,217.59,243.79","0,71,168,221,288,330,364,381,441,519,539.5,590.1,616.9,643,666.4",,,,
1,51,10,14,"10, 1, 4, 5, 9,11,13,16,17,18","14, 2, 3, 6, 7, 8,12,15,19,20",1500,1500,80.04,86.718,1419.96,1413.282,3000,2833.242,1416.621,10,10,"0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2","0,58,111,149,166,226,250,310,359.2,391.59,433.59",,,,
1,52,10,15,"10, 2, 3, 8,11,13,16,17,18,19","15, 1, 4, 5, 6, 7, 9,12,14,20",1500,1500,90.86,74.318,1409.14,1425.682,3000,2834.822,1417.411,10,10,"0,32,85,127,217,255.2,304.4,331.2,357.3,444.3,454.3","0,79,100,142,176,193,235,290,313,354.59,371.59",,,,
1,53,10,16,"10,12,14,15,19,20","16, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,17,18",900,2100,48.758,125.26,851.242,1974.74,3000,2825.982,1412.991,6,14,"0,65,88,136,185.2,217.59,243.79","0,28,125,178,245,287,321,338,398,476,496.5,534.7,574.1,600.2,626.3",,,,
1,54,10,17,"10,12,14,15,19,20","17, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,18",900,2100,48.758,179.6,851.242,1920.4,3000,2771.642,1385.821,6,14,"0,65,88,136,185.2,217.59,243.79","0,55,152,205,272,314,348,365,425,503,523.5,561.7,610.9,871.9,898",,,,
1,55,10,18,"10,12,14,15,19,20","18, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,48,145,198,265,307,341,358,418,496,516.5,554.7,603.9,630.7,656.8",,,,
1,56,10,19,"10, 1, 4, 5, 9,11,13,16,17,18","19, 2, 3, 6, 7, 8,12,14,15,20",1500,1500,80.04,68.486,1419.96,1431.514,3000,2851.474,1425.737,10,10,"0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2","0,30,83,121,138,198,222,245,293,310.03,342.43",,,,
1,57,10,20,"10,12,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15",900,2100,47.46,143.946,852.54,1956.054,3000,2808.594,1404.297,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73",,,,
1,58,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390",,,,
1,59,15,2,"15, 1, 4, 5, 6, 7,10,12,14,20","2, 3, 8, 9,11,13,16,17,18,19",1500,1500,73.318,90.16,1426.682,1409.84,3000,2836.522,1418.261,10,10,"0,79,100,142,176,193,220,285,308,349.59,366.59","0,53,95,173,193.5,231.7,280.9,307.7,333.8,420.8,450.8",,,,
1,60,15,3,"15, 1, 2, 6, 7, 8,10,12,14,16","3, 4, 5, 9,11,13,17,18,19,20",1500,1500,109,78.518,1391,1421.482,3000,2812.482,1406.241,10,10,"0,79,176,205,222,282,354.5,419.5,442.5,470,545","0,67,109,121,141.5,179.7,219.1,245.2,332.2,364.59,392.59",,,,
1,61,15,4,"15, 1, 2, 3, 6, 7, 8,12,14,19,20","4, 5, 9,10,11,13,16,17,18",1650,1350,98.558,71.6,1551.442,1278.4,3000,2829.842,1414.921,11,9,"0,79,176,229,267,284,344,368,391,443.4,475.79,492.79","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358",,,,
1,62,15,5,"15, 1, 2, 3, 4, 6, 7, 8,12,14,19,20","5, 9,10,11,13,16,17,18",1800,1200,118.758,58.2,1681.242,1141.8,3000,2823.042,1411.521,12,8,"0,79,176,229,296,368,385,445,469,492,544.4,576.79,593.79","0,12,79.1,138.7,176.9,226.1,252.9,279,291",,,,
1,63,15,6,"15, 1, 2, 3, 4, 5, 9,10,11,13,14,19,20","6, 7, 8,12,16,17,18",1950,1050,137.138,44.46,1812.862,1005.54,3000,2818.402,1409.201,13,7,"0,79,176,229,296,338,350,417.1,476.7,514.9,583.9,636.3,668.69,685.69","0,17,77,101,123.4,150.2,176.3,222.3",,,,
1,64,15,7,"15, 1, 2, 3, 4, 5, 6, 9,10,11,13,14,20","7, 8,12,16,17,18,19",1950,1050,138.898,56.26,1811.102,993.74,3000,2804.842,1402.421,13,7,"0,79,176,229,296,338,372,402,469.1,528.7,566.9,635.9,677.49,694.49","0,60,84,106.4,133.2,159.3,246.3,281.3",,,,
1,65,15,8,"15, 1, 2, 3, 4, 5, 6, 7, 9,11,12,13,14,16,17,18","8,10,19,20",2400,600,167.5,34.378,2232.5,565.622,3000,2798.122,1399.061,16,4,"0,79,176,229,296,338,372,389,431,451.5,519.5,591.1,660.1,687.6,714.4,740.5,837.5","0,72.5,82.5,114.89,171.89",,,,
1,66,15,9,"15, 1, 2, 3, 4, 5, 6, 7, 8,12,14,19,20","9,10,11,13,16,17,18",1950,1050,119.558,57.2,1830.442,992.8,3000,2823.242,1411.621,13,7,"0,79,176,229,296,338,372,389,449,473,496,548.4,580.79,597.79","0,67.1,126.7,164.9,214.1,240.9,267,286",,,,
1,67,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20","10,12,16,17,18,19",2100,900,142.658,47.46,1957.342,852.54,3000,2809.882,1404.941,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29","0,65,87.4,114.2,140.3,227.3,237.3",,,,
1,68,15,11,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,12,14,19,20","11,13,16,17,18",2250,750,156.778,36,2093.222,714,3000,2807.222,1403.611,15,5,"0,79,176,229,296,338,372,389,449,527,594.1,659.1,682.1,734.5,766.89,783.89","0,38.2,87.4,114.2,140.3,180",,,,
1,69,15,12,"15, 1, 4, 5, 9,10,11,13,14,20","12, 2, 3, 6, 7, 8,16,17,18,19",1500,1500,89.298,101.8,1410.702,1398.2,3000,2808.902,1404.451,10,10,"0,79,100,142,154,221.1,280.7,318.9,387.9,429.49,446.49","0,80,133,171,188,248,294.1,320.9,347,434,509",,,,
1,70,15,13,"15, 2, 3, 6, 7, 8,10,12,14,19,20","13, 1, 4, 5, 9,11,16,17,18",1650,1350,101.058,58.68,1548.942,1291.32,3000,2840.262,1420.131,11,9,"0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29","0,71,92,134,146,166.5,217.1,243.9,270,293.4",,,,
1,71,15,14,"15, 2, 3, 8, 9,11,13,19,20","14, 1, 4, 5, 6, 7,10,12,16,17,18",1350,1650,90.818,74.66,1259.182,1575.34,3000,2834.522,1417.261,9,11,"0,75,128,170,248,268.5,306.7,404.7,437.09,454.09","0,43,64,106,140,157,184,249,271.4,298.2,324.3,373.3",,,,
1,72,15,16,"15, 1, 4, 5, 6, 7,10,12,14,20","16, 2, 3, 8, 9,11,13,17,18,19",1500,1500,73.318,106.38,1426.682,1393.62,3000,2820.302,1410.151,10,10,"0,79,100,142,176,193,220,285,308,349.59,366.59","0,72,125,167,245,265.5,303.7,343.1,369.2,456.2,531.9",,,,
1,73,15,17,"15, 2, 3, 6, 7, 8,12,14,19,20","17, 1, 4, 5, 9,10,11,13,16,18",1500,1500,78.358,126.24,1421.642,1373.76,3000,2795.402,1397.701,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,55,76,118,130,197.1,256.7,294.9,344.1,605.1,631.2",,,,
1,74,15,18,"15, 1, 4, 5, 6, 7,10,12,14,20","18, 2, 3, 8, 9,11,13,16,17,19",1500,1500,73.318,105.96,1426.682,1394.04,3000,2820.722,1410.361,10,10,"0,79,100,142,176,193,220,285,308,349.59,366.59","0,74,127,169,247,267.5,305.7,354.9,381.7,442.8,529.8",,,,
1,75,15,19,"15, 1, 4, 8,12,14,20","19, 2, 3, 5, 6, 7, 9,10,11,13,16,17,18",1050,1950,51.918,116.2,998.082,1833.8,3000,2831.882,1415.941,7,13,"0,79,100,154,178,201,242.59,259.59","0,30,83,134,168,185,227,294.1,353.7,391.9,441.1,467.9,494,581",,,,
1,76,15,20,"15, 2, 3, 6, 7, 8,12,14,19","20, 1, 4, 5, 9,10,11,13,16,17,18",1350,1650,78.28,101.954,1271.72,1548.046,3000,2819.766,1409.883,9,11,"0,75,128,166,183,243,267,290,342.4,391.4","0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77",,,,
1,77,20,1,"20, 2, 3, 8, 9,11,13,14,15,19","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3",,,,
1,78,20,2,"20, 1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19",1650,1350,101.954,68.44,1548.046,1281.56,3000,2829.606,1414.803,11,9,"0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77","0,53,91,108,168,192,215,263,312.2,342.2",,,,
1,79,20,3,"20, 1, 2, 6, 7, 8,12,14,15","3, 4, 5, 9,10,11,13,16,17,18,19",1350,1650,78.806,103.2,1271.194,1546.8,3000,2817.994,1408.997,9,11,"0,79,176,205,222,282,306,329,377,394.03","0,67,109,121,188.1,247.7,285.9,335.1,361.9,388,475,516",,,,
1,80,20,4,"20, 1, 2, 3, 6, 7, 8,10,12,14,15,19","4, 5, 9,11,13,16,17,18",1800,1200,126.818,50.36,1673.182,1149.64,3000,2822.822,1411.411,12,8,"0,79,176,229,267,284,344,416.5,481.5,504.5,552.5,601.7,634.09","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8",,,,
1,81,20,5,"20, 1, 2, 3, 4, 8,10,12,14,15,19","5, 6, 7, 9,11,13,16,17,18",1650,1350,128.018,53.16,1521.982,1296.84,3000,2818.822,1409.411,11,9,"0,79,176,229,296,350,422.5,487.5,510.5,558.5,607.7,640.09","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8",,,,
1,82,20,6,"20, 1, 2, 3, 4, 5, 8,10,12,14,15","6, 7, 9,11,13,16,17,18,19",1650,1350,126.106,69.96,1523.894,1280.04,3000,2803.934,1401.967,11,9,"0,79,176,229,296,338,405,477.5,542.5,565.5,613.5,630.53","0,17,59,79.5,117.7,166.9,193.7,219.8,306.8,349.8",,,,
